rank,name,link,symbol,feixiaohao,volume-usd,website,chat,date,exchangeNumber
336,Databits,https://coinmarketcap.com/currencies/databits/,DTB,https://www.feixiaohao.com/currencies/databits/,533696.0,http://www.augmentorsgame.com/,https://t.me/augmentorsgame,2017-07-28,2
337,FlorinCoin,https://coinmarketcap.com/currencies/florincoin/,FLO,https://www.feixiaohao.com/currencies/florincoin/,448597.0,http://flo.cash/,https://t.me/FLOblockchain,2013-06-17,2
338,Xaurum,https://coinmarketcap.com/currencies/xaurum/,XAUR,https://www.feixiaohao.com/currencies/xaurum/,151047.0,http://www.xaurum.org/,,,4
339,bitqy,https://coinmarketcap.com/currencies/bitqy/,BQ,https://www.feixiaohao.com/currencies/bitqy/,12491.4,https://bitqy.org/,,2017-08-28,4
340,NVO,https://coinmarketcap.com/currencies/nvo/,NVST,https://www.feixiaohao.com/currencies/nvo/,23641.1,https://nvo.io/,,2017-07-11,1
341,Soarcoin,https://coinmarketcap.com/currencies/soarcoin/,SOAR,https://www.feixiaohao.com/currencies/soarcoin/,40945.3,http://soarlabs.org/,https://t.me/joinchat/FoiRKg5U9wMPNAKz3mVflA,,1
342,Pirl,https://coinmarketcap.com/currencies/pirl/,PIRL,https://www.feixiaohao.com/currencies/pirl/,444245.0,https://pirl.io/,"https://t.co/akNuU2C8OH , https://discordapp.com/invite/z4faFxD",2017-10-28,2
343,Patientory,https://coinmarketcap.com/currencies/patientory/,PTOY,https://www.feixiaohao.com/currencies/patientory/,2918070.0,https://patientory.com/,,2017-08-02,5
344,Linda,https://coinmarketcap.com/currencies/linda/,LINDA,https://www.feixiaohao.com/currencies/linda/,1298590.0,http://lindacoin.com/,,2017-07-16,5
345,BlockCAT,https://coinmarketcap.com/currencies/blockcat/,CAT,https://www.feixiaohao.com/currencies/blockcat/,271043.0,https://blockcat.io/,,2017-08-13,2
346,Sequence,https://coinmarketcap.com/currencies/sequence/,SEQ,https://www.feixiaohao.com/currencies/sequence/,270073.0,https://duality.solutions,,,1
347,Publica,https://coinmarketcap.com/currencies/publica/,PBL,https://www.feixiaohao.com/currencies/publica/,380261.0,https://publica.io/,https://t.me/publicaofficial,2017-11-24,3
348,Boolberry,https://coinmarketcap.com/currencies/boolberry/,BBR,https://www.feixiaohao.com/currencies/boolberry/,16402.4,http://boolberry.com/,,,0
349,OAX,https://coinmarketcap.com/currencies/oax/,OAX,https://www.feixiaohao.com/currencies/oax/,1580600.0,https://oax.org/,https://t.me/openanxteam,,6
350,Energycoin,https://coinmarketcap.com/currencies/energycoin/,ENRG,https://www.feixiaohao.com/currencies/energycoin/,753390.0,https://energycoin.eu/,,,1
351,Steem Dollars,https://coinmarketcap.com/currencies/steem-dollars/,SBD,https://www.feixiaohao.com/currencies/steem-dollars/,8029250.0,https://steem.io/,,,5
352,Mintcoin,https://coinmarketcap.com/currencies/mintcoin/,MINT,https://www.feixiaohao.com/currencies/mintcoin/,273987.0,http://www.mintcoinofficial.com,"https://discord.gg/qpGs76t , https://t.me/joinchat/AYSXZBGdWRH6jeIX_EJijg",,4
353,LoMoCoin,https://coinmarketcap.com/currencies/lomocoin/,LMC,https://www.feixiaohao.com/currencies/lomocoin/,797063.0,http://www.lomostar.com/,https://t.me/lomocoin,,4
354,Swarm City,https://coinmarketcap.com/currencies/swarm-city/,SWT,https://www.feixiaohao.com/currencies/swarm-city/,515264.0,http://swarm.city/,,,5
355,LUXCoin,https://coinmarketcap.com/currencies/luxcoin/,LUX,https://www.feixiaohao.com/currencies/luxcoin/,1525580.0,https://luxcore.io/,"https://t.me/LUXcoreOfficial , https://discord.gg/27xFP5Y",2017-10-28,2
356,Flixxo,https://coinmarketcap.com/currencies/flixxo/,FLIXX,https://www.feixiaohao.com/currencies/flixxo/,393619.0,https://www.flixxo.com/,https://t.me/flixxo,2017-11-26,3
357,Musicoin,https://coinmarketcap.com/currencies/musicoin/,MUSIC,https://www.feixiaohao.com/currencies/musicoin/,664043.0,https://www.musicoin.org/,,,2
358,SportyFi,https://coinmarketcap.com/currencies/sportyfi/,SPF,https://www.feixiaohao.com/currencies/sportyfi/,375441.0,https://sportyfi.io/,https://t.me/sportyfi_official,2017-12-14,3
359,Mercury Protocol,https://coinmarketcap.com/currencies/mercury-protocol/,GMT,https://www.feixiaohao.com/currencies/mercury-protocol/,54244.1,https://www.mercuryprotocol.com/,https://t.me/joinchat/G47gcA8f5EYFfEsILw7H2w,2017-10-27,1
360,Obsidian,https://coinmarketcap.com/currencies/obsidian/,ODN,https://www.feixiaohao.com/currencies/obsidian/,350072.0,https://obsidianplatform.com,https://discordapp.com/invite/BwDcpZy,2017-10-01,3
361,Bitcrystals,https://coinmarketcap.com/currencies/bitcrystals/,BCY,https://www.feixiaohao.com/currencies/bitcrystals/,1575180.0,http://bitcrystals.com/,,2015-06-02,4
362,Incent,https://coinmarketcap.com/currencies/incent/,INCNT,https://www.feixiaohao.com/currencies/incent/,366272.0,https://www.incentloyalty.com/,,2017-08-02,4
363,Payfair,https://coinmarketcap.com/currencies/payfair/,PFR,https://www.feixiaohao.com/currencies/payfair/,97627.3,https://payfair.io/,https://t.me/payfair,2017-12-04,1
364,Unobtanium,https://coinmarketcap.com/currencies/unobtanium/,UNO,https://www.feixiaohao.com/currencies/unobtanium/,170555.0,http://unobtanium.uno,https://t.me/unobtaniumuno,,4
365,Neutron,https://coinmarketcap.com/currencies/neutron/,NTRN,https://www.feixiaohao.com/currencies/neutron/,68902.0,http://www.neutroncoin.com/,https://discord.gg/NuGTB6z,,1
366,LockChain,https://coinmarketcap.com/currencies/lockchain/,LOC,https://www.feixiaohao.com/currencies/lockchain/,232847.0,https://lockchain.co/,https://t.me/joinchat/F3YOYQx123PO4FPfNRPihQ,2017-12-18,3
367,Waves Community Token,https://coinmarketcap.com/currencies/waves-community-token/,WCT,https://www.feixiaohao.com/currencies/waves-community-token/,42376.2,https://wavesplatform.com/,,,2
368,FedoraCoin,https://coinmarketcap.com/currencies/fedoracoin/,TIPS,https://www.feixiaohao.com/currencies/fedoracoin/,45112.6,http://www.fedoracoin.top/,,,1
369,Monoeci,https://coinmarketcap.com/currencies/monacocoin/,XMCC,https://www.feixiaohao.com/currencies/monacocoin/,160390.0,http://www.monacocoin.net/,https://discord.gg/Hsdg3BV,2017-08-28,2
370,HEAT,https://coinmarketcap.com/currencies/heat-ledger/,HEAT,https://www.feixiaohao.com/currencies/heat-ledger/,31826.0,http://heatledger.com/,,,4
371,Gambit,https://coinmarketcap.com/currencies/gambit/,GAM,https://www.feixiaohao.com/currencies/gambit/,68079.1,http://www.gambitcrypto.com,,,1
372,GoByte,https://coinmarketcap.com/currencies/gobyte/,GBX,https://www.feixiaohao.com/currencies/gobyte/,464221.0,https://gobyte.network/,https://discord.gg/mDAeFzT,2017-11-21,3
373,Internet of People,https://coinmarketcap.com/currencies/internet-of-people/,IOP,https://www.feixiaohao.com/currencies/internet-of-people/,1126030.0,"http://iop.global/ , http://iopcommunity.com/","https://t.me/IoPofficial , https://discord.gg/gsRKp6T",,2
374,Chronobank,https://coinmarketcap.com/currencies/chronobank/,TIME,https://www.feixiaohao.com/currencies/chronobank/,277554.0,https://chronobank.io/,https://telegram.me/ChronoBank,2016-12-15,7
375,Clams,https://coinmarketcap.com/currencies/clams/,CLAM,https://www.feixiaohao.com/currencies/clams/,771759.0,http://clamcoin.org/,,2017-05-25,5
376,BitDice,https://coinmarketcap.com/currencies/bitdice/,CSNO,https://www.feixiaohao.com/currencies/bitdice/,2473.09,https://www.bitdice.me/,,2017-09-26,2
377,QunQun,https://coinmarketcap.com/currencies/qunqun/,QUN,https://www.feixiaohao.com/currencies/qunqun/,4665160.0,https://qunqun.io/,"https://t.me/qunqun_io , https://beechat.io/join?g%3D7a6837bab7f44709a28bdd24a205d810%26lang%3Dzh",2018-01-12,4
378,Global Currency Reserve,https://coinmarketcap.com/currencies/global-currency-reserve/,GCR,https://www.feixiaohao.com/currencies/global-currency-reserve/,614846.0,http://gcrcoin.com/,,,2
379,FoldingCoin,https://coinmarketcap.com/currencies/foldingcoin/,FLDC,https://www.feixiaohao.com/currencies/foldingcoin/,908942.0,http://www.foldingcoin.net/,,2015-02-02,2
380,Bulwark,https://coinmarketcap.com/currencies/bulwark/,BWK,https://www.feixiaohao.com/currencies/bulwark/,582825.0,https://bulwarkcrypto.com/,"https://t.me/bulwarkcrypto , https://discord.gg/a7vhegP",2017-12-09,2
381,Solaris,https://coinmarketcap.com/currencies/solaris/,XLR,https://www.feixiaohao.com/currencies/solaris/,230114.0,http://solariscoin.com/,https://t.me/solariscoin,,3
382,onG.social,https://coinmarketcap.com/currencies/ongsocial/,ONG,https://www.feixiaohao.com/currencies/ongsocial/,11712.7,"https://ong.social/ , https://www.ongcoin.io/",https://t.me/onG_social/,2017-12-02,1
383,FirstCoin,https://coinmarketcap.com/currencies/firstcoin/,FRST,https://www.feixiaohao.com/currencies/firstcoin/,192345.0,http://firstcoinproject.com/,,,2
384,GeoCoin,https://coinmarketcap.com/currencies/geocoin/,GEO,https://www.feixiaohao.com/currencies/geocoin/,2364550.0,"http://geocoin.cash/ , http://geo.money/",,,3
385,Quantum,https://coinmarketcap.com/currencies/quantum/,QAU,https://www.feixiaohao.com/currencies/quantum/,64410.1,http://www.quantumproject.org/,https://t.me/QuantumProject,,4
386,Zoin,https://coinmarketcap.com/currencies/zoin/,ZOI,https://www.feixiaohao.com/currencies/zoin/,8695.61,http://zoinofficial.com/,,,2
387,Pluton,https://coinmarketcap.com/currencies/pluton/,PLU,https://www.feixiaohao.com/currencies/pluton/,22895.4,https://plutus.it/,,2016-01-04,1
388,UFO Coin,https://coinmarketcap.com/currencies/ufo-coin/,UFO,https://www.feixiaohao.com/currencies/ufo-coin/,114263.0,https://ufocoin.net/,https://t.me/UFOCoin,,1
389,Circuits of Value,https://coinmarketcap.com/currencies/circuits-of-value/,COVAL,https://www.feixiaohao.com/currencies/circuits-of-value/,534592.0,"http://cov.al/ , https://emblemvault.com/",,,1
390,Stealthcoin,https://coinmarketcap.com/currencies/stealthcoin/,XST,https://www.feixiaohao.com/currencies/stealthcoin/,86480.5,https://www.stealthcoin.com/,https://stealthcoin.herokuapp.com/,,3
391,ArtByte,https://coinmarketcap.com/currencies/artbyte/,ABY,https://www.feixiaohao.com/currencies/artbyte/,728099.0,https://www.artbyte.me/,,,0
392,BitSend,https://coinmarketcap.com/currencies/bitsend/,BSD,https://www.feixiaohao.com/currencies/bitsend/,416456.0,"http://www.bitsend.info/ , http://www.mybitsend.com/",,,6
393,Atmos,https://coinmarketcap.com/currencies/atmos/,ATMS,https://www.feixiaohao.com/currencies/atmos/,66621.0,https://novusphere.io/,https://discord.gg/PtXzUVr,,1
394,Primas,https://coinmarketcap.com/currencies/primas/,PST,https://www.feixiaohao.com/currencies/primas/,291157.0,https://primas.io/,,2017-08-29,3
395,Magnet,https://coinmarketcap.com/currencies/magnet/,MAG,https://www.feixiaohao.com/currencies/magnet/,281982.0,http://magnetwork.io/,,2017-11-24,1
396,DAO.Casino,https://coinmarketcap.com/currencies/dao-casino/,BET,https://www.feixiaohao.com/currencies/dao-casino/,254426.0,https://dao.casino/,https://t.me/daocasino,2017-07-03,2
397,OracleChain,https://coinmarketcap.com/currencies/oraclechain/,OCT,https://www.feixiaohao.com/currencies/oraclechain/,319846.0,http://oraclechain.io/,,2017-07-26,2
398,OBITS,https://coinmarketcap.com/currencies/obits/,OBITS,https://www.feixiaohao.com/currencies/obits/,74761.5,http://www.obits.io/,,,2
399,Autonio,https://coinmarketcap.com/currencies/autonio/,NIO,https://www.feixiaohao.com/currencies/autonio/,32859.2,https://auton.io/,https://t.me/Autonio,2017-11-07,2
400,Russian Miner Coin,https://coinmarketcap.com/currencies/russian-mining-coin/,RMC,https://www.feixiaohao.com/currencies/russian-mining-coin/,104395.0,https://rmc.one/,"https://t.me/RMC_ICO , https://t.me/RMC_ENG",2017-11-01,0
401,ATLANT,https://coinmarketcap.com/currencies/atlant/,ATL,https://www.feixiaohao.com/currencies/atlant/,585791.0,https://atlant.io/,https://t.me/atlant_eng,2017-11-02,5
402,Regalcoin,https://coinmarketcap.com/currencies/regalcoin/,REC,https://www.feixiaohao.com/currencies/regalcoin/,195543.0,https://regalcoin.co/,,2017-10-02,3
403,Sumokoin,https://coinmarketcap.com/currencies/sumokoin/,SUMO,https://www.feixiaohao.com/currencies/sumokoin/,341390.0,https://www.sumokoin.org/,,,2
404,Innova,https://coinmarketcap.com/currencies/innova/,INN,https://www.feixiaohao.com/currencies/innova/,352642.0,http://innovacoin.info/,,2017-11-09,1
405,Aventus,https://coinmarketcap.com/currencies/aventus/,AVT,https://www.feixiaohao.com/currencies/aventus/,2293780.0,https://aventus.io/,,2017-09-07,5
406,Ecobit,https://coinmarketcap.com/currencies/ecobit/,ECOB,https://www.feixiaohao.com/currencies/ecobit/,13945.8,http://www.ecobit.io/,https://t.me/EcobitOfficialTelegram,2017-07-06,2
407,Mysterium,https://coinmarketcap.com/currencies/mysterium/,MYST,https://www.feixiaohao.com/currencies/mysterium/,2418210.0,https://mysterium.network/,,2017-06-15,5
408,CVCoin,https://coinmarketcap.com/currencies/cvcoin/,CVCOIN,https://www.feixiaohao.com/currencies/cvcoin/,32967.9,https://crypviser.net,https://t.me/crypviser,2017-07-16,1
409,AudioCoin,https://coinmarketcap.com/currencies/audiocoin/,ADC,https://www.feixiaohao.com/currencies/audiocoin/,114389.0,http://www.audiocoin.eu/,https://discord.gg/v3ppcVc,,3
410,Polybius,https://coinmarketcap.com/currencies/polybius/,PLBT,https://www.feixiaohao.com/currencies/polybius/,578149.0,"https://polybius.io/ , https://medium.com/@PolybiusBank",https://t.me/polybius_eng,2017-07-07,5
411,MyWish,https://coinmarketcap.com/currencies/mywish/,WISH,https://www.feixiaohao.com/currencies/mywish/,224517.0,https://mywish.io/,https://t.me/MyWish_platform,2017-11-29,2
412,Vcash,https://coinmarketcap.com/currencies/vcash/,XVC,https://www.feixiaohao.com/currencies/vcash/,381514.0,http://vcash.info/,https://slack.vcash.info/,2017-06-01,2
413,TransferCoin,https://coinmarketcap.com/currencies/transfercoin/,TX,https://www.feixiaohao.com/currencies/transfercoin/,921404.0,http://txproject.io/,,,5
414,PinkCoin,https://coinmarketcap.com/currencies/pinkcoin/,PINK,https://www.feixiaohao.com/currencies/pinkcoin/,658161.0,"http://getstarted.with.pink/ , https://pinkbuffaloz.com/",http://slack.with.pink/,2016-01-18,3
415,Primecoin,https://coinmarketcap.com/currencies/primecoin/,XPM,https://www.feixiaohao.com/currencies/primecoin/,278768.0,http://primecoin.io/,,2013-07-12,7
416,Bitdeal,https://coinmarketcap.com/currencies/bitdeal/,BDL,https://www.feixiaohao.com/currencies/bitdeal/,389545.0,https://bitdeal.co.in/,,2017-07-11,3
417,HelloGold,https://coinmarketcap.com/currencies/hellogold/,HGT,https://www.feixiaohao.com/currencies/hellogold/,48432.1,"https://www.hellogold.org/ , https://www.hellogold.com/",,2017-10-13,4
418,Exchange Union,https://coinmarketcap.com/currencies/exchange-union/,XUC,https://www.feixiaohao.com/currencies/exchange-union/,1056510.0,https://www.exchangeunion.com/,"https://t.me/exchangeunioncoinhttps://exchange-union.herokuapp.com/ , https://exchange-union.slack.com/",2017-10-26,3
419,Social Send,https://coinmarketcap.com/currencies/social-send/,SEND,https://www.feixiaohao.com/currencies/social-send/,285422.0,http://socialsend.io/,https://discord.gg/xJthHER/,2017-12-07,2
420,Universal Currency,https://coinmarketcap.com/currencies/universal-currency/,UNIT,https://www.feixiaohao.com/currencies/universal-currency/,118636.0,http://www.u-currency.com/,,,4
421,Etheroll,https://coinmarketcap.com/currencies/etheroll/,DICE,https://www.feixiaohao.com/currencies/etheroll/,74285.6,"https://etheroll.com/ , https://etheroll.wordpress.com/",,,2
422,EarthCoin,https://coinmarketcap.com/currencies/earthcoin/,EAC,https://www.feixiaohao.com/currencies/earthcoin/,253585.0,http://earthcoin.io/,,2013-12-20,2
423,Lampix,https://coinmarketcap.com/currencies/lampix/,PIX,https://www.feixiaohao.com/currencies/lampix/,138193.0,https://www.lampix.co/,https://t.me/lampix_project,2017-09-26,5
424,Curecoin,https://coinmarketcap.com/currencies/curecoin/,CURE,https://www.feixiaohao.com/currencies/curecoin/,121801.0,"https://curecoin.net/ , https://curecoin.io/",,,2
425,Upfiring,https://coinmarketcap.com/currencies/upfiring/,UFR,https://www.feixiaohao.com/currencies/upfiring/,256262.0,https://www.upfiring.com/,,2017-11-15,2
426,NuBits,https://coinmarketcap.com/currencies/nubits/,USNBT,https://www.feixiaohao.com/currencies/nubits/,19912800.0,https://www.nubits.com,https://chat.nubits.com/,,0
427,Espers,https://coinmarketcap.com/currencies/espers/,ESP,https://www.feixiaohao.com/currencies/espers/,200782.0,"http://espers.io/ , http://cryptocoderz.com/espers.html","https://t.me/EspersCoin , https://discord.gg/hhYP8yT",,2
428,Sphere,https://coinmarketcap.com/currencies/sphere/,SPHR,https://www.feixiaohao.com/currencies/sphere/,1006420.0,https://sphrpay.io/,,,2
429,FlypMe,https://coinmarketcap.com/currencies/flypme/,FYP,https://www.feixiaohao.com/currencies/flypme/,162228.0,https://flyp.me/,https://etherscan.io/token/hello@flyp.me,2017-11-01,2
430,Pure,https://coinmarketcap.com/currencies/pure/,PURE,https://www.feixiaohao.com/currencies/pure/,535464.0,https://purealt.org/,,2017-11-05,1
431,Bitmark,https://coinmarketcap.com/currencies/bitmark/,BTM,https://www.feixiaohao.com/currencies/bitmark/,47589.1,http://bitmark.io/,https://bitmark.herokuapp.com/,2014-10-13,1
432,REX,https://coinmarketcap.com/currencies/real-estate-tokens/,REX,https://www.feixiaohao.com/currencies/real-estate-tokens/,2366.7,http://rexmls.com/,https://discordapp.com/invite/BSe7j4C,2017-09-14,2
433,CrowdCoin,https://coinmarketcap.com/currencies/crowdcoin/,CRC,https://www.feixiaohao.com/currencies/crowdcoin/,334498.0,http://crowdcoin.site/,"https://discordapp.com/invite/DfDh6U3 , https://t.me/crowdcoin",2017-12-13,2
434,Tao,https://coinmarketcap.com/currencies/tao/,XTO,https://www.feixiaohao.com/currencies/tao/,4445.77,http://tao.network/,,,1
435,ProChain,https://coinmarketcap.com/currencies/prochain/,PRO,https://www.feixiaohao.com/currencies/prochain/,1378560.0,https://chain.pro/,"https://t.me/ProChainTech , https://chain.pro/static/img/contact/weixin.jpg",2017-12-14,3
436,Bitcloud,https://coinmarketcap.com/currencies/bitcloud/,BTDX,https://www.feixiaohao.com/currencies/bitcloud/,30112.2,https://bit-cloud.info/,https://t.me/joinchat/B-3sT0NDiALPTtDEU_qp5A,,1
437,Creditbit,https://coinmarketcap.com/currencies/creditbit/,CRB,https://www.feixiaohao.com/currencies/creditbit/,485002.0,https://www.creditbit.org/,,,2
438,HEROcoin,https://coinmarketcap.com/currencies/herocoin/,PLAY,https://www.feixiaohao.com/currencies/herocoin/,32223.0,https://www.herocoin.io/,https://t.me/joinchat/FsEwOwtrCZMWwHokEj70Gw,2017-12-30,1
439,Astro,https://coinmarketcap.com/currencies/astro/,ASTRO,https://www.feixiaohao.com/currencies/astro/,20100.0,https://astronaut.capital/,https://t.me/astroico,2017-11-17,1
440,Crave,https://coinmarketcap.com/currencies/crave/,CRAVE,https://www.feixiaohao.com/currencies/crave/,55180.6,http://www.craveproject.net/,"https://t.me/craveproject , https://discord.gg/AY6S66E",,1
441,B2B,https://coinmarketcap.com/currencies/b2bx/,B2B,https://www.feixiaohao.com/currencies/b2bx/,66542.1,"https://www.b2bx.pro/ , https://b2broker.net/","https://t.me/B2BX_ICO_eng , https://open.kakao.com/o/gHLHTkC",2017-11-21,0
442,The ChampCoin,https://coinmarketcap.com/currencies/the-champcoin/,TCC,https://www.feixiaohao.com/currencies/the-champcoin/,23004.5,http://thechampcoin.com/,,2017-08-16,2
443,AdShares,https://coinmarketcap.com/currencies/adshares/,ADST,https://www.feixiaohao.com/currencies/adshares/,170481.0,https://adshares.net/,https://t.me/adshares,2017-08-13,4
444,Bela,https://coinmarketcap.com/currencies/belacoin/,BELA,https://www.feixiaohao.com/currencies/belacoin/,448628.0,http://livebela.com/,https://belacoin.herokuapp.com/,2014-01-24,4
445,Qwark,https://coinmarketcap.com/currencies/qwark/,QWARK,https://www.feixiaohao.com/currencies/qwark/,376655.0,http://www.qwark.io/,,,2
446,TrezarCoin,https://coinmarketcap.com/currencies/trezarcoin/,TZC,https://www.feixiaohao.com/currencies/trezarcoin/,99848.4,http://trezarcoin.com/,,2017-09-30,2
447,Novacoin,https://coinmarketcap.com/currencies/novacoin/,NVC,https://www.feixiaohao.com/currencies/novacoin/,384804.0,http://novacoin.org,,,6
448,Bitzeny,https://coinmarketcap.com/currencies/bitzeny/,ZNY,https://www.feixiaohao.com/currencies/bitzeny/,94350.3,"http://bitzeny.org/ , https://bitzeny.info/",,,4
449,DopeCoin,https://coinmarketcap.com/currencies/dopecoin/,DOPE,https://www.feixiaohao.com/currencies/dopecoin/,268154.0,http://www.dopecoin.com/,,,2
450,Auroracoin,https://coinmarketcap.com/currencies/auroracoin/,AUR,https://www.feixiaohao.com/currencies/auroracoin/,225965.0,http://auroracoin.is/,,,4
451,Memetic / PepeCoin,https://coinmarketcap.com/currencies/memetic/,MEME,https://www.feixiaohao.com/currencies/memetic/,673747.0,https://memetic.ai/,https://t.me/pepecoins,,3
452,Dotcoin,https://coinmarketcap.com/currencies/dotcoin/,DOT,https://www.feixiaohao.com/currencies/dotcoin/,355291.0,https://www.cryptopia.co.nz/,,,1
453,Hacken,https://coinmarketcap.com/currencies/hacken/,HKN,https://www.feixiaohao.com/currencies/hacken/,49781.7,https://hacken.io/,https://t.me/hackenio,2018-01-10,1
454,SpreadCoin,https://coinmarketcap.com/currencies/spreadcoin/,SPR,https://www.feixiaohao.com/currencies/spreadcoin/,689216.0,http://www.spreadcoin.info,,,3
455,Vsync,https://coinmarketcap.com/currencies/vsync-vsx/,VSX,https://www.feixiaohao.com/currencies/vsync-vsx/,97457.1,https://vsync.pw/,https://discordapp.com/invite/Arqhyqg,2017-09-11,2
456,HyperStake,https://coinmarketcap.com/currencies/hyperstake/,HYP,https://www.feixiaohao.com/currencies/hyperstake/,39851.9,http://hyperstake.io/,https://hyperstake.herokuapp.com/,,3
457,Breakout,https://coinmarketcap.com/currencies/breakout/,BRK,https://www.feixiaohao.com/currencies/breakout/,227521.0,http://www.breakoutcoin.com/,,2016-07-08,2
458,IntenseCoin,https://coinmarketcap.com/currencies/intensecoin/,ITNS,https://www.feixiaohao.com/currencies/intensecoin/,45040.5,https://intensecoin.com/,https://discord.gg/f3XQgA3,2017-11-17,1
459,Blockpool,https://coinmarketcap.com/currencies/blockpool/,BPL,https://www.feixiaohao.com/currencies/blockpool/,30137.6,https://www.blockpool.io/,https://discord.gg/v3ppcVc,2017-11-10,2
460,TrueFlip,https://coinmarketcap.com/currencies/trueflip/,TFL,https://www.feixiaohao.com/currencies/trueflip/,180507.0,"https://trueflip.io/ , https://steemit.com/@trueflip/",,2017-08-24,4
461,Altcoin,https://coinmarketcap.com/currencies/altcoin-alt/,ALT,https://www.feixiaohao.com/currencies/altcoin-alt/,5647.37,http://altcoinmarketcap.com/,,,2
462,Opus,https://coinmarketcap.com/currencies/opus/,OPT,https://www.feixiaohao.com/currencies/opus/,62889.8,http://opus-foundation.org/,"https://t.me/opusfoundation , https://discordapp.com/invite/JJD5Gtz",2017-08-30,2
463,VIVO,https://coinmarketcap.com/currencies/vivo/,VIVO,https://www.feixiaohao.com/currencies/vivo/,203608.0,https://www.vivocrypto.com/,"https://t.me/VIVOcoin , https://discord.gg/vXfEEWH",2017-09-13,1
464,GoldCoin,https://coinmarketcap.com/currencies/goldcoin/,GLD,https://www.feixiaohao.com/currencies/goldcoin/,125451.0,https://www.goldcoin.org/,https://t.me/goldcoin,,3
465,Wild Crypto,https://coinmarketcap.com/currencies/wild-crypto/,WILD,https://www.feixiaohao.com/currencies/wild-crypto/,39063.0,https://wildcrypto.com/,,2017-10-09,2
466,VeriumReserve,https://coinmarketcap.com/currencies/veriumreserve/,VRM,https://www.feixiaohao.com/currencies/veriumreserve/,302310.0,http://www.vericoin.info/veriumlaunch.html,,,3
467,Blitzcash,https://coinmarketcap.com/currencies/blitzcash/,BLITZ,https://www.feixiaohao.com/currencies/blitzcash/,181742.0,http://blitz.cash,,,1
468,Syndicate,https://coinmarketcap.com/currencies/syndicate/,SYNX,https://www.feixiaohao.com/currencies/syndicate/,933515.0,http://syndicateltd.net/,https://t.me/syndicateLTD,,5
469,Bitcoin Plus,https://coinmarketcap.com/currencies/bitcoin-plus/,XBC,https://www.feixiaohao.com/currencies/bitcoin-plus/,219239.0,http://www.bitcoinplus.org,,2017-05-26,4
470,CannabisCoin,https://coinmarketcap.com/currencies/cannabiscoin/,CANN,https://www.feixiaohao.com/currencies/cannabiscoin/,460092.0,http://cannabiscoin.net,,,4
471,Pesetacoin,https://coinmarketcap.com/currencies/pesetacoin/,PTC,https://www.feixiaohao.com/currencies/pesetacoin/,330043.0,http://pesetacoin.info/,https://t.me/joinchat/AAAAAEKf5_1-Yx1b2vYOaw,,5
472,Starta,https://coinmarketcap.com/currencies/starta/,STA,https://www.feixiaohao.com/currencies/starta/,15546600.0,https://startaico.com/,https://t.me/starta_ico,2017-07-19,2
473,Riecoin,https://coinmarketcap.com/currencies/riecoin/,RIC,https://www.feixiaohao.com/currencies/riecoin/,281424.0,http://riecoin.org/,,2014-02-09,2
474,Synergy,https://coinmarketcap.com/currencies/synergy/,SNRG,https://www.feixiaohao.com/currencies/synergy/,59098.5,http://www.synergycoin.com/,https://cryptosynergy.slack.com/,,2
475,Farad,https://coinmarketcap.com/currencies/farad/,FRD,https://www.feixiaohao.com/currencies/farad/,8828.45,https://farad.energy/,https://t.me/joinchat/E5ORhEN6T6yqaAk8aKJkRQ,2017-11-08,2
476,Indorse Token,https://coinmarketcap.com/currencies/indorse-token/,IND,https://www.feixiaohao.com/currencies/indorse-token/,422358.0,https://indorse.io/,,2017-09-20,7
477,Kore,https://coinmarketcap.com/currencies/korecoin/,KORE,https://www.feixiaohao.com/currencies/korecoin/,411309.0,http://kore.life/,,,2
478,Bonpay,https://coinmarketcap.com/currencies/bonpay/,BON,https://www.feixiaohao.com/currencies/bonpay/,57168.4,https://bonpay.com/,https://t.me/bonpay_eng,2017-12-07,2
479,Sprouts,https://coinmarketcap.com/currencies/sprouts/,SPRTS,https://www.feixiaohao.com/currencies/sprouts/,122515.0,https://sproutscommunity.wordpress.com/,,,1
480,Zero,https://coinmarketcap.com/currencies/zero/,ZER,https://www.feixiaohao.com/currencies/zero/,450424.0,http://zero.finance/,,,1
481,Masternodecoin,https://coinmarketcap.com/currencies/masternodecoin/,MTNC,https://www.feixiaohao.com/currencies/masternodecoin/,22601.0,http://www.masternodecoin.org/,,2017-09-07,1
482,E-Dinar Coin,https://coinmarketcap.com/currencies/e-dinar-coin/,EDR,https://www.feixiaohao.com/currencies/e-dinar-coin/,191235.0,https://edinarcoin.com/,https://telegram.me/EdinarCoincrypto,,4
483,DigiPulse,https://coinmarketcap.com/currencies/digipulse/,DGPT,https://www.feixiaohao.com/currencies/digipulse/,39805.9,"https://www.digipulse.io/ , https://scrypto.io/",https://t.me/digipulse_official,2017-11-21,2
484,BuzzCoin,https://coinmarketcap.com/currencies/buzzcoin/,BUZZ,https://www.feixiaohao.com/currencies/buzzcoin/,140628.0,http://www.buzzcoin.info/,"https://t.me/joinchat/EqD7e0FNSbRzjGwBRiv5cQ , https://discordapp.com/invite/VAkqYvq",2017-09-14,3
485,ChainCoin,https://coinmarketcap.com/currencies/chaincoin/,CHC,https://www.feixiaohao.com/currencies/chaincoin/,124628.0,http://www.chaincoin.org/,https://discord.gg/NabdcJ7,,1
